Player Name,Team Name,Price,Year
Vaibhav Arora,Kings XI Punjab,2 crore,2022
Jitesh Sharma,Kings XI Punjab,0.2 crore,2022
Shreyas iyer,Kolkata Knight Riders,12.25 crore,2022
Andre russell,Kolkata Knight Riders,12 crore,2022
Nitish rana,Kolkata Knight Riders,8 crore,2022
Varun chakravarthy,Kolkata Knight Riders,8 crore,2022
Venkatesh Iyer,Kolkata Knight Riders,8 crore,2022
Patrick cummins,Kolkata Knight Riders,7.25 crore,2022
Shivam mavi,Kolkata Knight Riders,7.25 crore,2022
Sunil narine,Kolkata Knight Riders,6 crore,2022
Sam billings,Kolkata Knight Riders,2 crore,2022
Umesh yadav,Kolkata Knight Riders,2 crore,2022
Tim southee,Kolkata Knight Riders,1.5 crore,2022
Aaron Finch,Kolkata Knight Riders,1.5 crore,2022
Ajinkya rahane,Kolkata Knight Riders,1 crore,2022
Sheldon jackson,Kolkata Knight Riders,0.6 crore,2022
Rinku singh,Kolkata Knight Riders,0.55 crore,2022
Rasikh salam,Kolkata Knight Riders,0.2 crore,2022
Lokesh rahul,Lucknow Supergiants,17 crore,2022
Avesh khan,Lucknow Supergiants,10 crore,2022
Marcus Stoinis,Lucknow Supergiants,9.2 crore,2022
Jason holder,Lucknow Supergiants,8.75 crore,2022
Krunal pandya,Lucknow Supergiants,8.25 crore,2022
Quinton de Kock,Lucknow Supergiants,6.75 crore,2022
Deepak hooda,Lucknow Supergiants,5.75 crore,2022
Manish pandey,Lucknow Supergiants,4.6 crore,2022
Ravi Bishnoi,Lucknow Supergiants,4 crore,2022
Dushmantha Chameera,Lucknow Supergiants,2 crore,2022
Evin lewis,Lucknow Supergiants,2 crore,2022
Andrew tye,Lucknow Supergiants,1 crore,2022
Krishnappa gowtham,Lucknow Supergiants,0.9 crore,2022
Ayush Badoni,Lucknow Supergiants,0.2 crore,2022
Sameer Rizvi,Lucknow Supergiants,0.2 crore,2022
Rohit sharma,Mumbai Indians,16 crore,2022
Ishan kishan,Mumbai Indians,15.25 crore,2022
Jasprit bumrah,Mumbai Indians,12 crore,2022
Tim David,Mumbai Indians,8.25 crore,2022
Suryakumar yadav,Mumbai Indians,8 crore,2022
Kieron Pollard,Mumbai Indians,6 crore,2022
Dewald Brevis,Mumbai Indians,3 crore,2022
Daniel Sams,Mumbai Indians,2.6 crore,2022
Tilak Varma,Mumbai Indians,1.7 crore,2022
Murugan ashwin,Mumbai Indians,1.6 crore,2022
